Participant	Item ID	Estimated Surprise	Explanation 1	Explanation 2	Reported Surprise	Preferred Explanation	Class
Alice	2Kxh6HuGxouqloIspfjGP1	0.02848935804872549	short	long	0.03	short	1
Alice	0g7waQsc8WWxchFAHfRhFt	0.03421011790532025	long	short	0.03	short	1
Alice	62obgbkuUt75nDIiIcLI4T	0.029245957600504913	long	short	0.03	short	1
Alice	6cGK2A1OGkzU01TIfScf5J	0.0031493674273269656	long	short	0.0	short	1
Alice	05RbCFmsP8ooDO667xvmjm	0.022203013840623675	long	short	0.02	short	1
Alice	7nIDpnsrS4wTyJ3vGZSa37	0.020124223724409085	long	short	0.02	short	1
Alice	3Sbnhrpec0ULbeWBsA6GS6	0.013463475834362415	long	short	0.01	short	1
Alice	4Mhnef8QspzKg6C6ya0pMO	0.00945548710061328	short	long	0.01	short	1
Alice	3PNg3eTYG7cnzPnSUMksFn	0.018255108251594487	short	long	0.02	short	1
Alice	3l87f77bYD9AXmiBQ8VDUi	0.022737539176319266	long	short	0.02	short	1
Beatriz	6sa8eiRKs7X90hgLdmnZzm	0.05809336911925944	long	short	0.06	short	1
Beatriz	0KVXu5v2OiC0g4J15aNjP7	0.08780892130734996	short	long	0.09	short	2
Beatriz	064gdxMwKg1pd2JUS75UY9	0.06459750227962002	short	long	0.06	short	1
Beatriz	18na6oRiHu8Xr1KpF9HrG2	0.10793524824131678	long	short	0.11	short	2
Beatriz	2uZJpaRCkYXGvjwPTJmVhB	0.11068560246420672	long	short	0.11	short	2
Beatriz	2WmPzHqCC12R4hJTvlgngO	0.09317646498373361	short	long	0.09	short	2
Beatriz	0sBhwPxfjXzgWv2Hn0XVUx	0.08541201359895795	short	long	0.09	short	2
Beatriz	4CyZpcjZdbAAD0J0EPSwmF	0.04905771522048924	short	long	0.05	short	1
Beatriz	5vjIsMg2yQLC8ZBNdc0DDa	0.09178047508757492	long	short	0.09	short	2
Beatriz	5RQ9CYCiB3gmYmzRYhGRGK	0.065229185148647	long	short	0.07	short	1
Claudio	0YZKbKo9i91i7LD0m1KASq	0.05361569669175875	long	short	0.05	short	1
Claudio	1Z1PlpV2k3JHs7aoy0X5bf	0.06866647339936893	short	long	0.07	short	1
Claudio	17kFOUdUy0NfIQJUHLG8Ay	0.015842377751314585	short	long	0.02	short	1
Claudio	7EprKmXPjWpmHvoQ2uGvL8	0.10286601284672914	short	long	0.1	short	2
Claudio	6nRCTb5b0N5zp8WTeY6xFZ	0.015664306316705623	short	long	0.02	short	1
Claudio	168aH14F9ef3ymWlk9vWHp	0.07753780022295326	long	short	0.08	short	1
Claudio	4BxfXnGbnlibcUUPKog7Ne	0.03119521485686161	long	short	0.03	short	1
Claudio	0wQzwIo50V1Uboha0bymhg	0.05799307447437124	long	short	0.06	short	1
Claudio	4mNmzIjEwuC9K6P2rpoSyT	0.03204204881507955	long	short	0.03	short	1
Claudio	1w7YFLKAHHy59TOFDoUr7a	0.04635857004647531	long	short	0.05	short	1
Demetrio	4r6FPSYgBt8y3LmHRFTLcT	0.13504732936378683	long	short	0.14	short	3
Demetrio	6bV2G27ckS4VC08CXaNWrX	0.12219626095159947	long	short	0.12	short	2
Demetrio	5BP7p06M6d46HPmRxNG09N	0.08822826428647901	long	short	0.09	short	2
Demetrio	0xfAmNbDI1oJ980dLeQqML	0.2353084223336248	long	short	0.24	long	5
Demetrio	5njjR4NWev730fJgmdkvdw	0.11525539663819906	short	long	0.12	short	2
Demetrio	0l2MlJk8MAvKfYDvJ4nv6l	0.24536936193798603	short	long	0.25	long	5
Demetrio	581E270cKMqfrIjbX0bJ2X	0.09498139939737749	long	short	0.09	short	2
Demetrio	3ztbDgnsx4QDjvGvtppccG	0.10003506151354685	short	long	0.1	short	2
Demetrio	6lGM86SXGL8N1u6euSQzpv	0.11859851231365864	short	long	0.12	short	2
Demetrio	10iq9kylUDnPeLJikEdCvl	0.20240105086928983	short	long	0.2	short	4
Eduardo	4cr9cfUYbIwuhqzhF9dpIZ	0.06888037292535576	short	long	0.07	short	1
Eduardo	6d4xxG6jn0UzmrH07NqI22	0.10079698718658137	short	long	0.1	short	2
Eduardo	4rrbptVnZifk4wC5mvNDPm	0.1290011742642408	short	long	0.13	short	3
Eduardo	7FP4DMV3ctB05V85S7gX5f	0.06979039948910692	long	short	0.07	short	1
Eduardo	1bCe5TnMj6g8dl3Gbril78	0.1262398106379239	short	long	0.13	short	3
Eduardo	2tbuWQcdmuDNmOGVlMlFuy	0.08394873045103501	short	long	0.08	short	1
Eduardo	33ijyZiIaPC8q9E88KUjhO	0.06069141664663841	long	short	0.06	short	1
Eduardo	0kXrneSPAiO1JPYsbcgDA3	0.10766882651790921	long	short	0.11	short	2
Eduardo	2EZaLYQmEW3LvCf0eB97d6	0.11120350765795456	long	short	0.11	short	2
Eduardo	05A44JvvE9McpmTDG0HNvJ	0.062995002551824	long	short	0.06	short	1
