Participant	Item ID	Estimated Surprise	Explanation 1	Explanation 2	Reported Surprise	Preferred Explanation	Class
Alice	1Zx0gtbyIG6LYqjbS3pOp0	0.06304954709066185	short	long	0.06	short	1
Alice	110Hvi6Ybgsx3pAPJtK2D2	0.01435623819305859	long	short	0.01	short	1
Alice	4ruWQbEKkM4Jx4OAzQ791o	0.05903981925287516	long	short	0.06	short	1
Alice	7JmtOSoZP6k3VXsPFwS4xZ	0.042011805931200075	long	short	0.04	short	1
Alice	5TFuoZmzM4BAQLgSYnwPqY	0.03453262808108776	long	short	0.03	short	1
Alice	4XoyRcPQcCnL28jXZDNzXc	0.10368066203923038	long	short	0.1	short	2
Alice	68zZesWCZEi5nH8JiEzP63	0.05920077959725101	long	short	0.06	short	1
Alice	3BoaBZQsCU12IEEJeficPS	0.020639435816442786	short	long	0.02	short	1
Alice	5yXAYzcJbjiIkRINE68qGX	0.018606929557696272	short	long	0.02	short	1
Alice	0lQDsncnSJwgl36Uxt4g0O	0.03273753497571957	long	short	0.03	short	1
Beatriz	3MrWnFHZd9uZiVXwoZOxqd	0.041137351088579965	long	short	0.04	short	1
Beatriz	1MJD989fIavFGxWJlnAbdO	0.06962879265251448	short	long	0.07	short	1
Beatriz	0GveDUsgYoUwExpWRi6Yx0	0.08360254372245735	short	long	0.08	short	1
Beatriz	6KI66HzKaCOvfvLenuf0JQ	0.04465256110606303	long	short	0.04	short	1
Beatriz	70aN8RYMtTeG85MQADhMhx	0.04746314283302777	long	short	0.05	short	1
Beatriz	6zKeSx87zrWhYP3LMpuCII	0.08093712672441034	short	long	0.08	short	1
Beatriz	6kLGxJA0QCVDTIbZDbXgL3	0.06840587047376012	short	long	0.07	short	1
Beatriz	5LiXhJO9wanLPzl99rd8d0	0.038037142296104776	short	long	0.04	short	1
Beatriz	6aE623nY6WVhgYH9VAFQRr	0.06586871518803811	long	short	0.07	short	1
Beatriz	6X9AAdGL50tu0HQyBR5sqQ	0.03505675247207357	long	short	0.04	short	1
Claudio	0AB2KGNDiGZHUJcGiSvvIM	0.016165958853407714	long	short	0.02	short	1
Claudio	1Z1PlpV2k3JHs7aoy0X5bf	0.025284405773490004	short	long	0.03	short	1
Claudio	2aWEIpLonw2uGwIwvrTe6B	0.07135173262837624	short	long	0.07	short	1
Claudio	1R25Vjg2Kb723DtwJx9OUh	0.029158728248926014	short	long	0.03	short	1
Claudio	1Uqho5JOqIIRaeBayFo4V3	0.014474499774321248	short	long	0.01	short	1
Claudio	7Bqz2cjdtsdFyMYiAdZdnK	0.006932723097145321	long	short	0.01	short	1
Claudio	6Rqe4HwJ7xwpQKfp3xFz1Y	0.02987593142760131	long	short	0.03	short	1
Claudio	3xfxohFtEMn7zQh84aBCxY	0.014803552218801641	long	short	0.01	short	1
Claudio	4mNmzIjEwuC9K6P2rpoSyT	0.013232173725368834	long	short	0.01	short	1
Claudio	1neoFC7npUa9Bt7RMXpfqW	0.020878149094425313	long	short	0.02	short	1
Demetrio	0VxW4MvlrfAKpDqPyu26V9	0.08177159778261622	long	short	0.08	short	1
Demetrio	2KTvJlQCvRVfJyfuxDNYn4	0.0872535433688087	long	short	0.09	short	2
Demetrio	0rtez9EEkyfsI7c2XzAYZJ	0.09605680258454025	long	short	0.1	short	2
Demetrio	41Ds2snKIxYhLtW6Nsg1xX	0.15049231607769403	long	short	0.15	short	3
Demetrio	4fYJxgMcvqNdwAaXyftGdZ	0.12574598452526176	short	long	0.13	short	3
Demetrio	2z860bO637S6kICNsc5l1z	0.10695953314766327	short	long	0.11	short	2
Demetrio	1W6PdDcxvKyu3PZLYexgrl	0.07022286869854427	long	short	0.07	short	1
Demetrio	1N8ZfIA7pZGclmfd33pfkG	0.1112490495459943	short	long	0.11	short	2
Demetrio	7MfympqWLMGXftSmPWY3W2	0.09870658866312493	short	long	0.1	short	2
Demetrio	3qNPU39rtteBOfba9mAC3s	0.1294501581350102	short	long	0.13	short	3
Eduardo	3WTULuRuiU1kBB5LcFJaLN	0.01581075709412566	short	long	0.02	short	1
Eduardo	6xMGc9y81xSNLehdxtDyYO	0.03221683440180234	short	long	0.03	short	1
Eduardo	0SRDvk8M4HCxJyaEscoaqY	0.05436776937699217	short	long	0.05	short	1
Eduardo	1W7XDURio9s2V9kHYck60U	0.06422762679282074	long	short	0.06	short	1
Eduardo	0M8qBToqUr2pixuet3rTx1	0.05602364359737322	short	long	0.06	short	1
Eduardo	15RBlZuiAIKacp2Y2QEX1i	0.027120904552903835	short	long	0.03	short	1
Eduardo	4yqI2lTbpl1qH4SzfiynDI	0.06692963417941022	long	short	0.07	short	1
Eduardo	015qMhujogj3xL4G0vUQyP	0.09156161291591197	long	short	0.09	short	2
Eduardo	02OZXtKtnw8DTYKldfS5cZ	0.07638214968436702	long	short	0.08	short	1
Eduardo	6z1WNO2cnpwIzlqBuviE1X	0.015761424825935955	long	short	0.02	short	1
